0; 0; 100; -0,0825319; 0; 
0,01; -0,000825134; 99,9995; -0,0824772; -0,0980096; 
0,02; -0,00164919; 99,998; -0,0823159; -0,196015; 
0,03; -0,0024711; 99,9956; -0,082048; -0,294013; 
0,04; -0,00328979; 99,9922; -0,0816737; -0,391999; 
0,05; -0,00410421; 99,9877; -0,0811928; -0,489969; 
0,06; -0,00491329; 99,9824; -0,0806054; -0,587919; 
0,07; -0,00571597; 99,976; -0,0799115; -0,685845; 
0,08; -0,00651117; 99,9686; -0,0791113; -0,783744; 
0,09; -0,00729784; 99,9603; -0,0782046; -0,881611; 
0,1; -0,00807491; 99,951; -0,0771916; -0,979442; 
0,11; -0,00884131; 99,9407; -0,0760722; -1,07723; 
0,12; -0,009596; 99,9295; -0,0748466; -1,17498; 
0,13; -0,0103379; 99,9172; -0,0735148; -1,27268; 
0,14; -0,0110659; 99,904; -0,0720768; -1,37033; 
0,15; -0,0117791; 99,8898; -0,0705327; -1,46793; 
0,16; -0,0124762; 99,8747; -0,0688826; -1,56546; 
0,17; -0,0131564; 99,8585; -0,0671265; -1,66293; 
0,18; -0,0138184; 99,8414; -0,0652645; -1,76034; 
0,19; -0,0144613; 99,8233; -0,0632967; -1,85767; 
0,2; -0,015084; 99,8042; -0,0612232; -1,95493; 
0,21; -0,0156854; 99,7842; -0,059044; -2,05211; 
0,22; -0,0162645; 99,7632; -0,0567593; -2,14921; 
0,23; -0,0168203; 99,7412; -0,0543691; -2,24622; 
0,24; -0,0173516; 99,7183; -0,0518735; -2,34315; 
0,25; -0,0178574; 99,6944; -0,0492726; -2,43997; 
0,26; -0,0183367; 99,6695; -0,0465666; -2,53671; 
0,27; -0,0187884; 99,6436; -0,0437555; -2,63334; 
0,28; -0,0192114; 99,6168; -0,0408394; -2,72986; 
0,29; -0,0196048; 99,589; -0,0378185; -2,82628; 
0,3; -0,0199674; 99,5603; -0,0346929; -2,92258; 
0,31; -0,0202983; 99,5306; -0,0314627; -3,01877; 
0,32; -0,0205963; 99,4999; -0,028128; -3,11483; 
0,33; -0,0208605; 99,4683; -0,024689; -3,21078; 
0,34; -0,0210898; 99,4357; -0,0211457; -3,3066; 
0,35; -0,0212831; 99,4022; -0,0174984; -3,40228; 
0,36; -0,0214394; 99,3677; -0,0137471; -3,49783; 
0,37; -0,0215577; 99,3322; -0,00989205; -3,59325; 
0,38; -0,0216369; 99,2958; -0,00593334; -3,68852; 
0,39; -0,021676; 99,2584; -0,00187113; -3,78365; 
0,4; -0,021674; 99,2201; 0,00229443; -3,87863; 
0,41; -0,0216298; 99,1809; 0,00656317; -3,97346; 
0,42; -0,0215424; 99,1406; 0,0109349; -4,06813; 
0,43; -0,0214107; 99,0995; 0,0154095; -4,16264; 
0,44; -0,0212338; 99,0574; 0,0199867; -4,25699; 
0,45; -0,0210107; 99,0144; 0,0246664; -4,35118; 
0,46; -0,0207402; 98,9704; 0,0294483; -4,44519; 
0,47; -0,0204213; 98,9254; 0,0343324; -4,53904; 
0,48; -0,0200532; 98,8796; 0,0393182; -4,6327; 
0,49; -0,0196346; 98,8328; 0,0444058; -4,72619; 
0,5; -0,0191647; 98,7851; 0,0495948; -4,8195; 
0,51; -0,0186424; 98,7364; 0,054885; -4,91262; 
0,52; -0,0180667; 98,6868; 0,0602763; -5,00556; 
0,53; -0,0174365; 98,6363; 0,0657684; -5,0983; 
0,54; -0,016751; 98,5848; 0,071361; -5,19085; 
0,55; -0,016009; 98,5325; 0,077054; -5,28319; 
0,56; -0,0152096; 98,4792; 0,0828471; -5,37534; 
0,57; -0,0143517; 98,425; 0,0887401; -5,46729; 
0,58; -0,0134344; 98,3698; 0,0947327; -5,55902; 
0,59; -0,0124567; 98,3138; 0,100825; -5,65055; 
0,6; -0,0114176; 98,2568; 0,107016; -5,74186; 
0,61; -0,0103161; 98,199; 0,113306; -5,83296; 
0,62; -0,00915117; 98,1402; 0,119694; -5,92384; 
0,63; -0,00792187; 98,0805; 0,126181; -6,0145; 
0,64; -0,00662721; 98,0199; 0,132767; -6,10493; 
0,65; -0,00526621; 97,9584; 0,139449; -6,19514; 
0,66; -0,00383789; 97,896; 0,14623; -6,28511; 
0,67; -0,00234129; 97,8327; 0,153108; -6,37486; 
0,68; -0,000775417; 97,7685; 0,160083; -6,46436; 
0,69; 0,000860685; 97,7034; 0,167154; -6,55363; 
0,7; 0,00256798; 97,6374; 0,174322; -6,64266; 
0,71; 0,00434744; 97,5705; 0,181586; -6,73145; 
0,72; 0,00620002; 97,5028; 0,188946; -6,81999; 
0,73; 0,00812668; 97,4341; 0,196401; -6,90828; 
0,74; 0,0101284; 97,3646; 0,203952; -6,99632; 
0,75; 0,012206; 97,2942; 0,211597; -7,08411; 
0,76; 0,0143606; 97,2229; 0,219338; -7,17164; 
0,77; 0,0165931; 97,1508; 0,227172; -7,25891; 
0,78; 0,0189044; 97,0778; 0,235101; -7,34592; 
0,79; 0,0212954; 97,0039; 0,243123; -7,43267; 
0,8; 0,0237671; 96,9291; 0,251238; -7,51916; 
0,81; 0,0263205; 96,8535; 0,259447; -7,60538; 
0,82; 0,0289564; 96,777; 0,267748; -7,69133; 
0,83; 0,0316758; 96,6997; 0,276141; -7,777; 
0,84; 0,0344795; 96,6215; 0,284627; -7,86241; 
0,85; 0,0373686; 96,5424; 0,293204; -7,94753; 
0,86; 0,0403439; 96,4625; 0,301873; -8,03238; 
