iteration,x1,x2
0,-1.86612,-0.680143
1,-1.86611,-0.679986
2,-1.8661,-0.67983
3,-1.86609,-0.679673
4,-1.86608,-0.679516
5,-1.86607,-0.67936
6,-1.86606,-0.679203
7,-1.86606,-0.679047
8,-1.86605,-0.67889
9,-1.86604,-0.678733
10,-1.86603,-0.678577
11,-1.86602,-0.67842
12,-1.86601,-0.678264
13,-1.866,-0.678107
14,-1.86599,-0.677951
15,-1.86598,-0.677794
16,-1.86597,-0.677638
17,-1.86596,-0.677481
18,-1.86595,-0.677325
19,-1.86595,-0.677168
20,-1.86594,-0.677012
21,-1.86593,-0.676856
22,-1.86592,-0.676699
23,-1.86591,-0.676543
24,-1.8659,-0.676387
25,-1.86589,-0.67623
26,-1.86588,-0.676074
27,-1.86587,-0.675918
28,-1.86586,-0.675761
29,-1.86585,-0.675605
30,-1.86584,-0.675449
31,-1.86583,-0.675293
32,-1.86583,-0.675136
33,-1.86582,-0.67498
34,-1.86581,-0.674824
35,-1.8658,-0.674668
36,-1.86579,-0.674512
37,-1.86578,-0.674355
38,-1.86577,-0.674199
39,-1.86576,-0.674043
40,-1.86575,-0.673887
41,-1.86574,-0.673731
42,-1.86573,-0.673575
43,-1.86572,-0.673419
44,-1.86571,-0.673263
45,-1.86571,-0.673107
46,-1.8657,-0.672951
47,-1.86569,-0.672795
48,-1.86568,-0.672639
49,-1.86567,-0.672483
50,-1.86566,-0.672327
51,-1.86565,-0.672171
52,-1.86564,-0.672015
53,-1.86563,-0.671859
54,-1.86562,-0.671703
55,-1.86561,-0.671548
56,-1.8656,-0.671392
57,-1.8656,-0.671236
58,-1.86559,-0.67108
59,-1.86558,-0.670924
60,-1.86557,-0.670769
61,-1.86556,-0.670613
62,-1.86555,-0.670457
63,-1.86554,-0.670301
64,-1.86553,-0.670146
65,-1.86552,-0.66999
66,-1.86551,-0.669834
67,-1.8655,-0.669679
68,-1.86549,-0.669523
69,-1.86549,-0.669367
70,-1.86548,-0.669212
71,-1.86547,-0.669056
72,-1.86546,-0.6689
73,-1.86545,-0.668745
74,-1.86544,-0.668589
75,-1.86543,-0.668434
76,-1.86542,-0.668278
77,-1.86541,-0.668123
78,-1.8654,-0.667967
79,-1.86539,-0.667812
80,-1.86538,-0.667656
81,-1.86538,-0.667501
82,-1.86537,-0.667345
83,-1.86536,-0.66719
84,-1.86535,-0.667035
85,-1.86534,-0.666879
86,-1.86533,-0.666724
87,-1.86532,-0.666569
88,-1.86531,-0.666413
89,-1.8653,-0.666258
90,-1.86529,-0.666103
91,-1.86528,-0.665947
92,-1.86527,-0.665792
93,-1.86527,-0.665637
94,-1.86526,-0.665482
95,-1.86525,-0.665326
96,-1.86524,-0.665171
97,-1.86523,-0.665016
98,-1.86522,-0.664861
99,-1.86521,-0.664706
100,-1.8652,-0.66455
101,-1.86519,-0.664395
102,-1.86518,-0.66424
103,-1.86517,-0.664085
104,-1.86516,-0.66393
105,-1.86516,-0.663775
106,-1.86515,-0.66362
107,-1.86514,-0.663465
108,-1.86513,-0.66331
109,-1.86512,-0.663155
110,-1.86511,-0.663
111,-1.8651,-0.662845
112,-1.86509,-0.66269
113,-1.86508,-0.662535
114,-1.86507,-0.66238
115,-1.86506,-0.662225
116,-1.86505,-0.66207
117,-1.86505,-0.661915
118,-1.86504,-0.66176
119,-1.86503,-0.661606
120,-1.86502,-0.661451
121,-1.86501,-0.661296
122,-1.865,-0.661141
123,-1.86499,-0.660986
124,-1.86498,-0.660832
125,-1.86497,-0.660677
126,-1.86496,-0.660522
127,-1.86495,-0.660367
128,-1.86494,-0.660213
129,-1.86494,-0.660058
130,-1.86493,-0.659903
131,-1.86492,-0.659749
132,-1.86491,-0.659594
133,-1.8649,-0.659439
134,-1.86489,-0.659285
135,-1.86488,-0.65913
136,-1.86487,-0.658975
137,-1.86486,-0.658821
138,-1.86485,-0.658666
139,-1.86484,-0.658512
140,-1.86483,-0.658357
141,-1.86483,-0.658203
142,-1.86482,-0.658048
143,-1.86481,-0.657894
144,-1.8648,-0.657739
145,-1.86479,-0.657585
146,-1.86478,-0.65743
147,-1.86477,-0.657276
148,-1.86476,-0.657122
149,-1.86475,-0.656967
150,-1.86474,-0.656813
151,-1.86473,-0.656659
152,-1.86473,-0.656504
153,-1.86472,-0.65635
154,-1.86471,-0.656196
155,-1.8647,-0.656041
156,-1.86469,-0.655887
157,-1.86468,-0.655733
158,-1.86467,-0.655579
159,-1.86466,-0.655424
160,-1.86465,-0.65527
161,-1.86464,-0.655116
162,-1.86463,-0.654962
163,-1.86462,-0.654808
164,-1.86462,-0.654653
165,-1.86461,-0.654499
166,-1.8646,-0.654345
167,-1.86459,-0.654191
168,-1.86458,-0.654037
169,-1.86457,-0.653883
170,-1.86456,-0.653729
171,-1.86455,-0.653575
172,-1.86454,-0.653421
173,-1.86453,-0.653267
174,-1.86452,-0.653113
175,-1.86452,-0.652959
176,-1.86451,-0.652805
177,-1.8645,-0.652651
178,-1.86449,-0.652497
179,-1.86448,-0.652343
180,-1.86447,-0.652189
181,-1.86446,-0.652035
182,-1.86445,-0.651881
183,-1.86444,-0.651728
184,-1.86443,-0.651574
185,-1.86442,-0.65142
186,-1.86441,-0.651266
187,-1.86441,-0.651112
188,-1.8644,-0.650959
189,-1.86439,-0.650805
190,-1.86438,-0.650651
191,-1.86437,-0.650497
192,-1.86436,-0.650344
193,-1.86435,-0.65019
194,-1.86434,-0.650036
195,-1.86433,-0.649883
196,-1.86432,-0.649729
197,-1.86431,-0.649575
198,-1.86431,-0.649422
199,-1.8643,-0.649268
200,-1.86429,-0.649114
201,-1.86428,-0.648961
202,-1.86427,-0.648807
203,-1.86426,-0.648654
204,-1.86425,-0.6485
205,-1.86424,-0.648347
206,-1.86423,-0.648193
207,-1.86422,-0.64804
208,-1.86421,-0.647886
209,-1.86421,-0.647733
210,-1.8642,-0.647579
211,-1.86419,-0.647426
212,-1.86418,-0.647273
213,-1.86417,-0.647119
214,-1.86416,-0.646966
215,-1.86415,-0.646813
216,-1.86414,-0.646659
217,-1.86413,-0.646506
218,-1.86412,-0.646353
219,-1.86411,-0.646199
220,-1.86411,-0.646046
221,-1.8641,-0.645893
222,-1.86409,-0.645739
223,-1.86408,-0.645586
224,-1.86407,-0.645433
225,-1.86406,-0.64528
226,-1.86405,-0.645127
227,-1.86404,-0.644973
228,-1.86403,-0.64482
229,-1.86402,-0.644667
230,-1.86401,-0.644514
231,-1.86401,-0.644361
232,-1.864,-0.644208
233,-1.86399,-0.644055
234,-1.86398,-0.643902
235,-1.86397,-0.643749
236,-1.86396,-0.643596
237,-1.86395,-0.643443
238,-1.86394,-0.64329
239,-1.86393,-0.643137
240,-1.86392,-0.642984
241,-1.86391,-0.642831
242,-1.86391,-0.642678
243,-1.8639,-0.642525
244,-1.86389,-0.642372
245,-1.86388,-0.642219
246,-1.86387,-0.642066
247,-1.86386,-0.641913
248,-1.86385,-0.641761
249,-1.86384,-0.641608
250,-1.86383,-0.641455
251,-1.86382,-0.641302
252,-1.86381,-0.641149
253,-1.86381,-0.640997
254,-1.8638,-0.640844
255,-1.86379,-0.640691
256,-1.86378,-0.640538
257,-1.86377,-0.640386
258,-1.86376,-0.640233
259,-1.86375,-0.64008
260,-1.86374,-0.639928
261,-1.86373,-0.639775
262,-1.86372,-0.639622
263,-1.86371,-0.63947
264,-1.86371,-0.639317
265,-1.8637,-0.639165
266,-1.86369,-0.639012
267,-1.86368,-0.638859
268,-1.86367,-0.638707
269,-1.86366,-0.638554
270,-1.86365,-0.638402
271,-1.86364,-0.638249
272,-1.86363,-0.638097
273,-1.86362,-0.637944
274,-1.86361,-0.637792
275,-1.86361,-0.63764
276,-1.8636,-0.637487
277,-1.86359,-0.637335
278,-1.86358,-0.637182
279,-1.86357,-0.63703
280,-1.86356,-0.636878
281,-1.86355,-0.636725
282,-1.86354,-0.636573
283,-1.86353,-0.636421
284,-1.86352,-0.636268
285,-1.86352,-0.636116
286,-1.86351,-0.635964
287,-1.8635,-0.635812
288,-1.86349,-0.635659
289,-1.86348,-0.635507
290,-1.86347,-0.635355
291,-1.86346,-0.635203
292,-1.86345,-0.635051
293,-1.86344,-0.634898
294,-1.86343,-0.634746
295,-1.86342,-0.634594
296,-1.86342,-0.634442
297,-1.86341,-0.63429
298,-1.8634,-0.634138
299,-1.86339,-0.633986
300,-1.86338,-0.633834
301,-1.86337,-0.633682
302,-1.86336,-0.63353
303,-1.86335,-0.633378
304,-1.86334,-0.633226
305,-1.86333,-0.633074
306,-1.86333,-0.632922
307,-1.86332,-0.63277
308,-1.86331,-0.632618
309,-1.8633,-0.632466
310,-1.86329,-0.632314
311,-1.86328,-0.632162
312,-1.86327,-0.632011
313,-1.86326,-0.631859
314,-1.86325,-0.631707
315,-1.86324,-0.631555
316,-1.86323,-0.631403
317,-1.86323,-0.631252
318,-1.86322,-0.6311
319,-1.86321,-0.630948
320,-1.8632,-0.630796
321,-1.86319,-0.630645
322,-1.86318,-0.630493
323,-1.86317,-0.630341
324,-1.86316,-0.630189
325,-1.86315,-0.630038
326,-1.86314,-0.629886
327,-1.86314,-0.629735
328,-1.86313,-0.629583
329,-1.86312,-0.629431
330,-1.86311,-0.62928
331,-1.8631,-0.629128
332,-1.86309,-0.628977
333,-1.86308,-0.628825
334,-1.86307,-0.628674
335,-1.86306,-0.628522
336,-1.86305,-0.628371
337,-1.86304,-0.628219
338,-1.86304,-0.628068
339,-1.86303,-0.627916
340,-1.86302,-0.627765
341,-1.86301,-0.627613
342,-1.863,-0.627462
343,-1.86299,-0.627311
344,-1.86298,-0.627159
345,-1.86297,-0.627008
346,-1.86296,-0.626857
347,-1.86295,-0.626705
348,-1.86295,-0.626554
349,-1.86294,-0.626403
350,-1.86293,-0.626251
351,-1.86292,-0.6261
352,-1.86291,-0.625949
353,-1.8629,-0.625798
354,-1.86289,-0.625646
355,-1.86288,-0.625495
356,-1.86287,-0.625344
357,-1.86286,-0.625193
358,-1.86286,-0.625042
359,-1.86285,-0.624891
360,-1.86284,-0.624739
361,-1.86283,-0.624588
362,-1.86282,-0.624437
363,-1.86281,-0.624286
364,-1.8628,-0.624135
365,-1.86279,-0.623984
366,-1.86278,-0.623833
367,-1.86277,-0.623682
368,-1.86277,-0.623531
369,-1.86276,-0.62338
370,-1.86275,-0.623229
371,-1.86274,-0.623078
372,-1.86273,-0.622927
373,-1.86272,-0.622776
374,-1.86271,-0.622625
375,-1.8627,-0.622474
376,-1.86269,-0.622324
377,-1.86268,-0.622173
378,-1.86268,-0.622022
379,-1.86267,-0.621871
380,-1.86266,-0.62172
381,-1.86265,-0.621569
382,-1.86264,-0.621419
383,-1.86263,-0.621268
384,-1.86262,-0.621117
385,-1.86261,-0.620966
386,-1.8626,-0.620816
387,-1.86259,-0.620665
388,-1.86259,-0.620514
389,-1.86258,-0.620363
390,-1.86257,-0.620213
391,-1.86256,-0.620062
392,-1.86255,-0.619912
393,-1.86254,-0.619761
394,-1.86253,-0.61961
395,-1.86252,-0.61946
396,-1.86251,-0.619309
397,-1.8625,-0.619159
398,-1.8625,-0.619008
399,-1.86249,-0.618858
400,-1.86248,-0.618707
401,-1.86247,-0.618556
402,-1.86246,-0.618406
403,-1.86245,-0.618256
404,-1.86244,-0.618105
405,-1.86243,-0.617955
406,-1.86242,-0.617804
407,-1.86241,-0.617654
408,-1.86241,-0.617503
409,-1.8624,-0.617353
410,-1.86239,-0.617203
411,-1.86238,-0.617052
412,-1.86237,-0.616902
413,-1.86236,-0.616752
414,-1.86235,-0.616601
415,-1.86234,-0.616451
416,-1.86233,-0.616301
417,-1.86232,-0.616151
418,-1.86232,-0.616
419,-1.86231,-0.61585
420,-1.8623,-0.6157
421,-1.86229,-0.61555
422,-1.86228,-0.6154
423,-1.86227,-0.615249
424,-1.86226,-0.615099
425,-1.86225,-0.614949
426,-1.86224,-0.614799
427,-1.86223,-0.614649
428,-1.86223,-0.614499
429,-1.86222,-0.614349
430,-1.86221,-0.614199
431,-1.8622,-0.614049
432,-1.86219,-0.613899
433,-1.86218,-0.613749
434,-1.86217,-0.613599
435,-1.86216,-0.613449
436,-1.86215,-0.613299
437,-1.86214,-0.613149
438,-1.86214,-0.612999
439,-1.86213,-0.612849
440,-1.86212,-0.612699
441,-1.86211,-0.612549
442,-1.8621,-0.612399
443,-1.86209,-0.612249
444,-1.86208,-0.612099
445,-1.86207,-0.61195
446,-1.86206,-0.6118
447,-1.86206,-0.61165
448,-1.86205,-0.6115
449,-1.86204,-0.61135
450,-1.86203,-0.611201
451,-1.86202,-0.611051
452,-1.86201,-0.610901
453,-1.862,-0.610752
454,-1.86199,-0.610602
455,-1.86198,-0.610452
456,-1.86197,-0.610303
457,-1.86197,-0.610153
458,-1.86196,-0.610003
459,-1.86195,-0.609854
460,-1.86194,-0.609704
461,-1.86193,-0.609554
462,-1.86192,-0.609405
463,-1.86191,-0.609255
464,-1.8619,-0.609106
465,-1.86189,-0.608956
466,-1.86188,-0.608807
467,-1.86188,-0.608657
468,-1.86187,-0.608508
469,-1.86186,-0.608358
470,-1.86185,-0.608209
471,-1.86184,-0.608059
472,-1.86183,-0.60791
473,-1.86182,-0.607761
474,-1.86181,-0.607611
475,-1.8618,-0.607462
476,-1.8618,-0.607312
477,-1.86179,-0.607163
478,-1.86178,-0.607014
479,-1.86177,-0.606864
480,-1.86176,-0.606715
481,-1.86175,-0.606566
482,-1.86174,-0.606417
483,-1.86173,-0.606267
484,-1.86172,-0.606118
485,-1.86171,-0.605969
486,-1.86171,-0.60582
487,-1.8617,-0.60567
488,-1.86169,-0.605521
489,-1.86168,-0.605372
490,-1.86167,-0.605223
491,-1.86166,-0.605074
492,-1.86165,-0.604925
493,-1.86164,-0.604776
494,-1.86163,-0.604627
495,-1.86163,-0.604477
496,-1.86162,-0.604328
497,-1.86161,-0.604179
498,-1.8616,-0.60403
499,-1.86159,-0.603881
500,-1.86158,-0.603732
501,-1.86157,-0.603583
502,-1.86156,-0.603434
503,-1.86155,-0.603285
504,-1.86154,-0.603136
505,-1.86154,-0.602988
506,-1.86153,-0.602839
507,-1.86152,-0.60269
508,-1.86151,-0.602541
509,-1.8615,-0.602392
510,-1.86149,-0.602243
511,-1.86148,-0.602094
512,-1.86147,-0.601945
513,-1.86146,-0.601797
514,-1.86146,-0.601648
515,-1.86145,-0.601499
516,-1.86144,-0.60135
517,-1.86143,-0.601202
518,-1.86142,-0.601053
519,-1.86141,-0.600904
520,-1.8614,-0.600755
521,-1.86139,-0.600607
522,-1.86138,-0.600458
523,-1.86138,-0.600309
524,-1.86137,-0.600161
525,-1.86136,-0.600012
526,-1.86135,-0.599864
527,-1.86134,-0.599715
528,-1.86133,-0.599566
529,-1.86132,-0.599418
530,-1.86131,-0.599269
531,-1.8613,-0.599121
532,-1.86129,-0.598972
533,-1.86129,-0.598824
534,-1.86128,-0.598675
535,-1.86127,-0.598527
536,-1.86126,-0.598378
537,-1.86125,-0.59823
538,-1.86124,-0.598081
539,-1.86123,-0.597933
540,-1.86122,-0.597785
541,-1.86121,-0.597636
542,-1.86121,-0.597488
543,-1.8612,-0.59734
544,-1.86119,-0.597191
545,-1.86118,-0.597043
546,-1.86117,-0.596895
547,-1.86116,-0.596746
548,-1.86115,-0.596598
549,-1.86114,-0.59645
550,-1.86113,-0.596302
551,-1.86113,-0.596153
552,-1.86112,-0.596005
553,-1.86111,-0.595857
554,-1.8611,-0.595709
