Lp.,x1,x2,x1*,x2*,y*,f_calls,,x1*,x2*,y*,f_calls
58,0.556085,-0.741141,0.774678,-0.774734,1.23967,209,,0.774702,-0.774728,1.23967,87
59,-0.347698,0.538012,-4.12607e-05,0.774731,0.619837,257,,4.75741e-05,0.774735,0.619837,85
60,0.469194,0.222588,0.774663,-6.80296e-05,0.619837,225,,0.774627,-1.58898e-05,0.619837,67
61,0.593981,-0.255151,0.774763,4.88988e-06,0.619837,217,,0.774765,-0.000101554,0.619838,79
62,-0.284134,0.356721,-7.17444e-05,1.93208e-06,1.6402e-07,257,,-2.34687e-05,1.22391e-05,2.23081e-08,73
63,0.957536,0.974076,0.774723,0.774701,1.23967,209,,0.7747,0.774731,1.23967,101
64,0.41176,0.486868,0.774728,0.774681,1.23967,241,,0.774718,0.774793,1.23967,111
65,0.327467,-0.689473,-3.27062e-05,-0.774785,0.619837,201,,3.58565e-05,-0.774639,0.619837,101
66,0.941223,-0.533652,0.77466,-0.774745,1.23967,217,,0.774649,-0.774735,1.23967,85
67,-0.796582,-0.7707,-0.774707,-0.774763,1.23967,161,,-0.774776,-0.774688,1.23967,51
68,0.751726,-0.53999,0.774695,-0.774678,1.23967,217,,0.774707,-0.774687,1.23967,89
69,0.507009,-0.0711395,0.774666,-4.57405e-05,0.619837,201,,0.774803,-3.57043e-05,0.619837,53
70,0.826786,-0.158763,0.774755,-1.26173e-05,0.619837,201,,0.774793,-2.37217e-05,0.619837,61
71,-0.460202,0.494607,-0.774733,0.774763,1.23967,193,,-0.774667,0.774869,1.23968,59
72,0.12747,-0.608065,-2.99395e-05,-0.774784,0.619837,225,,-2.73887e-05,-0.774774,0.619837,89
73,-0.255906,-0.364751,3.14845e-05,-6.34155e-05,1.5962e-07,225,,8.2869e-05,2.76513e-05,2.43018e-07,63
74,0.941572,0.57191,0.774697,0.774722,1.23967,217,,0.774773,0.774707,1.23967,93
75,-0.971093,-0.0529764,-0.774687,-7.64711e-06,0.619837,193,,-0.774642,-2.98558e-05,0.619837,71
76,0.578727,0.733173,0.774664,0.774735,1.23967,177,,0.774709,0.774793,1.23967,79
77,0.449199,-0.258757,0.774667,-6.77011e-06,0.619837,225,,0.774609,2.54269e-05,0.619838,71
78,-0.0844647,0.141987,6.65251e-05,-4.4386e-05,2.03656e-07,185,,3.87288e-06,-3.25883e-05,3.42942e-08,85
79,-0.845343,-0.991448,-0.774718,-0.774729,1.23967,217,,-0.774718,-0.774622,1.23967,67
80,-0.392204,-0.0870636,-1.61373e-05,-3.23864e-05,4.16911e-08,249,,7.44194e-05,-2.23502e-05,1.92258e-07,127
81,0.567082,-0.0461129,0.774738,-1.91625e-05,0.619837,177,,0.774692,-4.24773e-06,0.619837,87
82,0.883096,0.450207,0.774658,0.774738,1.23967,257,,0.774729,0.774661,1.23967,89
83,-0.6676,0.800591,-0.774788,0.774653,1.23967,193,,-0.774583,0.774748,1.23967,79
84,-0.263286,0.947853,-5.22399e-06,0.774728,0.619837,249,,-3.28494e-06,0.774618,0.619837,83
85,0.646326,-0.719755,0.774764,-0.774755,1.23967,201,,0.774791,-0.774683,1.23967,57
86,0.522729,0.0222328,0.77476,4.52684e-05,0.619837,201,,0.774737,-5.41127e-05,0.619837,91
87,0.122486,0.591447,-1.35528e-05,0.774728,0.619837,217,,-1.22774e-05,0.774638,0.619837,89
88,0.555614,-0.965906,0.774677,-0.774656,1.23967,177,,0.774747,-0.774719,1.23967,83
89,-0.720859,-0.499998,-0.774765,-0.774686,1.23967,185,,-0.774766,-0.77477,1.23967,71
90,-0.834953,0.691501,-0.774641,0.774782,1.23967,217,,-0.774695,0.774645,1.23967,69
91,0.266835,-0.799944,-4.03784e-05,-0.774788,0.619837,217,,-2.4336e-05,-0.774788,0.619837,95
92,-0.751846,0.269826,-0.774658,-1.79219e-05,0.619837,201,,-0.774728,6.16576e-05,0.619837,77
93,-0.287945,0.593224,2.33069e-05,0.774786,0.619837,233,,-2.62681e-05,0.774835,0.619838,75
94,0.0324129,0.228705,6.91178e-05,-4.4994e-05,2.16584e-07,185,,6.53074e-05,-1.93917e-05,1.47784e-07,95
95,-0.537797,-0.484449,-0.774672,-0.774762,1.23967,209,,-0.774719,-0.774813,1.23967,95
96,-0.179388,-0.64806,-1.33804e-05,-0.774778,0.619837,233,,2.02595e-05,-0.774682,0.619837,65
97,0.442306,-0.720518,0.77465,-0.774737,1.23967,241,,0.774643,-0.774762,1.23967,59
98,0.314075,-0.172108,1.252e-05,-7.72142e-05,1.94837e-07,265,,-4.18664e-06,2.25198e-06,7.1962e-10,93
99,0.45685,-0.242067,0.774662,-3.56687e-05,0.619837,217,,0.774719,3.55569e-05,0.619837,89
100,-0.344805,-0.350798,3.8544e-05,-1.66051e-05,5.60864e-08,209,,-8.91448e-06,-3.82079e-05,4.90157e-08,109
1,0.39977,0.980433,0.774712,0.774769,1.23967,273,,0.774708,0.774645,1.23967,123
2,-0.0774589,0.0781744,6.05952e-05,-4.82982e-05,1.91198e-07,193,,2.24903e-05,-3.4658e-05,5.43548e-08,101
3,0.601588,0.84132,0.774732,0.774699,1.23967,257,,0.774689,0.774814,1.23967,153
4,-0.604772,0.892921,-0.774753,0.774796,1.23967,241,,-0.774684,0.774764,1.23967,123
5,-0.165442,-0.422238,-3.16919e-05,-1.10096e-05,3.58415e-08,273,,-5.08383e-06,-6.66738e-05,1.42375e-07,125
