iteration,x1,x2
0,-1.86612,-0.680143
1,-0.440803,0.640827
2,0.0459686,0.115604
3,-0.0275245,0.0474911
4,0.00494042,0.0124618
5,-0.00297103,0.00512953
6,0.000534172,0.00134744
7,-0.000321248,0.000554646
8,5.77599e-05,0.000145696
