w,d_start,l_start,d_opt,l_opt,mass,deflection,stress,f_opt,f_calls
0.6,35.42029063,904.2769648,48.90795292,200.000018,3.351534864,0.1582449132,34.82745018,2.074218884,419
0.61,42.11976327,372.7222116,27.12964209,200.0000022,1.031271141,1.67136514,204.0459168,1.280907801,419
0.62,14.46962245,277.9007361,30.418021,200.0000023,1.296422761,1.057605684,144.7662203,1.205672272,419
0.63,37.022843,544.1881617,34.31923346,200.0000168,1.6502887,0.6526755991,100.7969512,1.281171853,419
0.64,26.06779917,619.057026,43.61984905,200.0000172,2.665956663,0.2500984857,49.09165341,1.796247719,419
0.65,40.46591406,948.4114453,48.443446,200.0000204,3.288174322,0.1644021907,35.83893161,2.194854076,419
0.66,23.86056292,719.5762771,49.75016649,200.0000216,3.467958208,0.1477983447,33.088458,2.339103854,419
0.67,26.46202157,417.1627247,26.71873219,200.0000166,1.000268198,1.776578099,213.6055795,1.256450465,419
0.68,19.55190354,432.6254812,26.11576823,200.0000211,0.9556313501,1.946419729,228.745061,1.272683631,419
0.69,27.51981384,466.4220204,25.87900262,200.0000207,0.9383823826,2.01863398,235.0810046,1.273260378,419
0.7,40.25735542,867.7110183,49.09380641,200.0000191,3.377055394,0.1558622298,34.43340901,2.410697445,419
0.71,10.63538766,886.0329844,49.18127273,200.0000208,3.389099374,0.1547564166,34.25002178,2.451139916,419
0.72,48.07406532,498.4908526,49.99999883,200.0000197,3.502875991,0.1448664224,32.59493785,2.562633312,419
0.73,22.95874367,411.2722543,25.41369521,200.0000198,0.9049412987,2.170583233,248.2313841,1.246664621,419
0.74,47.39431703,344.7352026,26.41759163,200.0000061,0.9778476345,1.858980068,220.9939798,1.206942067,419
0.75,32.47050866,656.292153,49.84841263,200.0000211,3.481668702,0.1466366018,32.89320132,2.647910677,419
0.76,12.45060835,491.8054381,25.9666028,200.0000163,0.9447459442,1.991531363,232.7098295,1.195974445,419
0.77,41.45071823,338.4046164,26.98391923,200.0000015,1.020222251,1.707762529,207.3695645,1.178356515,419
0.78,28.48530871,569.4712242,36.29909971,200.0000199,1.846190375,0.5215119901,85.1868538,1.55476113,419
0.79,34.12963891,891.0621579,49.00714477,200.000022,3.365143436,0.1569676384,34.61640338,2.691426519,419
0.8,49.42641251,491.911059,26.33550155,200.0000071,0.9717799503,1.882267114,223.0670023,1.153877383,305
0.81,41.97368014,465.7395081,25.97521281,200.0000169,0.9453725698,1.98889216,232.4784977,1.143641292,419
0.82,10.5743668,368.7140343,24.90643042,200.0000116,0.8691760179,2.352890427,263.7094269,1.136244612,419
0.83,34.14511166,402.5254068,25.41866929,200.0000208,0.9052955761,2.16888475,248.0856874,1.120105736,419
0.84,30.06697577,233.2985096,24.5479626,200.0000012,0.8443366478,2.493364539,275.4315844,1.10818111,647
0.85,33.44737136,406.4866235,25.44724103,200.0000205,0.9073319052,2.159160383,247.2509855,1.095106177,419
0.86,45.0504764,681.6551803,49.58469524,200.0000173,3.444927334,0.1497811299,33.42082679,2.983606865,419
0.87,14.62598039,862.4908339,49.28589825,200.0000228,3.403534312,0.1534465143,34.03236404,2.981022898,419
0.88,49.00730165,551.6944812,36.40257749,200.0000142,1.856731188,0.5156073925,84.46245928,1.695796332,419
0.89,13.68815439,928.0323736,48.89352904,200.0000208,3.349558341,0.1584317354,34.85828268,2.998534415,419
0.9,34.82148419,723.1732613,49.71672693,200.0000214,3.463297797,0.1481963833,33.15526895,3.131787656,419
0.91,29.21622631,745.4418509,49.67419073,200.0000208,3.457374126,0.1487046388,33.24051476,3.159593872,419
0.92,10.74893495,413.3388908,25.31682226,200.0000164,0.8980554483,2.203996597,251.0918144,1.00253074,419
0.93,44.19232337,584.6848736,40.33545423,200.0000186,2.279600144,0.3420581132,62.08680065,2.143972202,419
0.94,39.14050575,566.4392451,37.3119501,200.0000185,1.950655908,0.4671495255,78.43615451,1.861645525,419
0.95,23.78735156,771.3383651,49.615052,200.0000217,3.449146812,0.1494149044,33.35951988,3.284160217,419
0.96,42.91751522,315.2206336,24.92671569,200.000005,0.8705923821,2.345240446,263.0661249,0.9295783047,305
0.97,11.85389364,869.8376405,49.26245186,200.0000176,3.40029672,0.1537388415,34.08097925,3.302899983,419
0.98,24.19673339,719.980106,49.7485269,200.0000226,3.467729646,0.1478178321,33.09172981,3.40133141,419
0.99,13.61815235,885.2741833,49.16867131,200.0000191,3.387362831,0.1549151235,34.276362,3.355038354,419
1,37.66393078,741.3104742,49.66238016,200.0000186,3.455730229,0.1488461425,33.26423553,3.455730229,419
