iteration,x1,x2
0,-1.86612,-0.680143
1,-0.440803,0.640827
2,0.0322192,0.326587
3,0.0494564,-0.0203313
4,0.0122801,-0.0322896
5,-0.00531742,-0.00773224
6,-0.00180451,0.00187818
7,-0.000288307,0.00163366
8,0.000259885,6.22343e-05
9,6.77406e-05,-0.000116698
