t,x1_sim,x2_sim,x1_exp,x2_exp
11.6,1.05203,1.79115,1.05203,1.79115
11.7,1.01545,1.73605,1.01545,1.73605
11.8,0.981899,1.68544,0.981899,1.68544
11.9,0.951639,1.63973,0.951639,1.63973
12,0.924911,1.59929,0.924911,1.59929
12.1,0.901912,1.56442,0.901912,1.56442
12.2,0.882798,1.53534,0.882798,1.53534
12.3,0.867684,1.51225,0.867684,1.51225
12.4,0.856642,1.49525,0.856642,1.49525
12.5,0.849705,1.48439,0.849705,1.48439
12.6,0.846862,1.47968,0.846862,1.47968
12.7,0.848063,1.48102,0.848063,1.48102
12.8,0.853219,1.4883,0.853219,1.4883
12.9,0.862203,1.50133,0.862203,1.50133
13,0.874853,1.51987,0.874853,1.51987
13.1,0.890974,1.54363,0.890974,1.54363
13.2,0.910339,1.57228,0.910339,1.57228
13.3,0.932696,1.60544,0.932696,1.60544
13.4,0.957765,1.64269,0.957765,1.64269
13.5,0.985247,1.6836,0.985247,1.6836
13.6,1.01482,1.72767,1.01482,1.72767
13.7,1.04616,1.77442,1.04616,1.77442
13.8,1.07892,1.82334,1.07892,1.82334
13.9,1.11274,1.87389,1.11274,1.87389
14,1.14727,1.92555,1.14727,1.92555
14.1,1.18216,1.97778,1.18216,1.97778
14.2,1.21705,2.03005,1.21705,2.03005
14.3,1.2516,2.08186,1.2516,2.08186
14.4,1.28548,2.13268,1.28548,2.13268
14.5,1.31835,2.18205,1.31835,2.18205
14.6,1.34992,2.22949,1.34992,2.22949
14.7,1.3799,2.27458,1.3799,2.27458
14.8,1.40802,2.31692,1.40802,2.31692
14.9,1.43403,2.35613,1.43403,2.35613
15,1.45773,2.39189,1.45773,2.39189
15.1,1.47892,2.42392,1.47892,2.42392
15.2,1.49744,2.45196,1.49744,2.45196
15.3,1.51315,2.47582,1.51315,2.47582
15.4,1.52596,2.49533,1.52596,2.49533
15.5,1.53579,2.5104,1.53579,2.5104
15.6,1.54261,2.52095,1.54261,2.52095
15.7,1.5464,2.52697,1.5464,2.52697
15.8,1.54718,2.52848,1.54718,2.52848
15.9,1.54501,2.52556,1.54501,2.52556
16,1.53996,2.51831,1.53996,2.51831
16.1,1.53214,2.5069,1.53214,2.5069
16.2,1.52167,2.49152,1.52167,2.49152
16.3,1.50872,2.47239,1.50872,2.47239
16.4,1.49345,2.44978,1.49345,2.44978
16.5,1.47606,2.42397,1.47606,2.42397
16.6,1.45678,2.39529,1.45678,2.39529
16.7,1.43581,2.36407,1.43581,2.36407
16.8,1.41341,2.33066,1.41341,2.33066
16.9,1.38981,2.29545,1.38981,2.29545
17,1.36529,2.25881,1.36529,2.25881
17.1,1.34009,2.22114,1.34009,2.22114
17.2,1.31449,2.18282,1.31449,2.18282
17.3,1.28873,2.14426,1.28873,2.14426
17.4,1.26309,2.10582,1.26309,2.10582
17.5,1.2378,2.0679,1.2378,2.0679
17.6,1.21313,2.03086,1.21312,2.03086
17.7,1.18928,1.99505,1.18928,1.99505
17.8,1.1665,1.96079,1.1665,1.96079
17.9,1.14498,1.9284,1.14498,1.9284
18,1.1249,1.89817,1.1249,1.89817
18.1,1.10645,1.87035,1.10645,1.87035
18.2,1.08978,1.84516,1.08978,1.84516
18.3,1.07501,1.82282,1.07501,1.82282
18.4,1.06225,1.80348,1.06225,1.80348
18.5,1.0516,1.78728,1.0516,1.78728
18.6,1.04311,1.77432,1.04311,1.77432
18.7,1.03683,1.76467,1.03683,1.76467
18.8,1.03278,1.75836,1.03278,1.75836
18.9,1.03096,1.75538,1.03096,1.75538
19,1.03135,1.75571,1.03135,1.75571
19.1,1.03388,1.75927,1.03388,1.75927
19.2,1.03851,1.76597,1.03851,1.76597
19.3,1.04515,1.77568,1.04515,1.77568
19.4,1.05368,1.78825,1.05368,1.78825
19.5,1.064,1.8035,1.064,1.8035
19.6,1.07595,1.82123,1.07595,1.82123
19.7,1.0894,1.84122,1.0894,1.84122
19.8,1.10419,1.86322,1.10419,1.86322
19.9,1.12013,1.88697,1.12013,1.88697
20,1.13705,1.91222,1.13705,1.91222
20.1,1.15477,1.93867,1.15477,1.93867
20.2,1.17309,1.96605,1.17309,1.96605
20.3,1.19182,1.99407,1.19182,1.99407
20.4,1.21077,2.02243,1.21077,2.02243
20.5,1.22975,2.05086,1.22975,2.05086
20.6,1.24856,2.07906,1.24856,2.07906
20.7,1.26702,2.10676,1.26702,2.10676
20.8,1.28497,2.13371,1.28497,2.13371
20.9,1.30222,2.15964,1.30222,2.15964
21,1.31863,2.18431,1.31863,2.18431
21.1,1.33405,2.20752,1.33405,2.20752
21.2,1.34834,2.22905,1.34834,2.22905
21.3,1.36138,2.24873,1.36138,2.24873
21.4,1.37307,2.2664,1.37307,2.2664
21.5,1.38332,2.28191,1.38332,2.28191
21.6,1.39205,2.29517,1.39205,2.29517
21.7,1.39921,2.30607,1.39921,2.30607
21.8,1.40475,2.31456,1.40475,2.31456
21.9,1.40866,2.3206,1.40866,2.3206
22,1.41093,2.32418,1.41093,2.32418
22.1,1.41155,2.3253,1.41155,2.3253
22.2,1.41057,2.32401,1.41057,2.32401
22.3,1.40802,2.32036,1.40802,2.32036
22.4,1.40395,2.31444,1.40395,2.31444
22.5,1.39843,2.30634,1.39843,2.30634
22.6,1.39156,2.29619,1.39156,2.29619
22.7,1.38341,2.28412,1.38341,2.28412
22.8,1.3741,2.2703,1.3741,2.2703
22.9,1.36374,2.2549,1.36374,2.2549
23,1.35245,2.23809,1.35245,2.23809
23.1,1.34036,2.22007,1.34036,2.22007
23.2,1.32761,2.20104,1.32761,2.20104
23.3,1.31434,2.18121,1.31434,2.18121
23.4,1.30068,2.1608,1.30068,2.1608
23.5,1.28678,2.14,1.28678,2.14
23.6,1.27279,2.11905,1.27279,2.11905
23.7,1.25883,2.09814,1.25883,2.09814
23.8,1.24506,2.07748,1.24506,2.07748
23.9,1.2316,2.05728,1.2316,2.05728
24,1.21858,2.03772,1.21858,2.03772
24.1,1.20612,2.01899,1.20612,2.01899
24.2,1.19433,2.00125,1.19433,2.00125
24.3,1.18332,1.98467,1.18332,1.98467
24.4,1.17318,1.96937,1.17318,1.96937
24.5,1.16399,1.9555,1.16399,1.9555
24.6,1.15583,1.94316,1.15583,1.94316
24.7,1.14876,1.93245,1.14876,1.93245
24.8,1.14282,1.92343,1.14282,1.92343
24.9,1.13806,1.91616,1.13806,1.91616
25,1.1345,1.91069,1.1345,1.91069
25.1,1.13215,1.90703,1.13215,1.90703
25.2,1.13101,1.90519,1.13101,1.90519
25.3,1.13107,1.90515,1.13107,1.90515
25.4,1.13231,1.90687,1.13231,1.90687
25.5,1.13468,1.9103,1.13468,1.9103
25.6,1.13816,1.91538,1.13816,1.91538
25.7,1.14267,1.92203,1.14267,1.92203
25.8,1.14816,1.93014,1.14816,1.93014
25.9,1.15455,1.93962,1.15455,1.93962
26,1.16177,1.95033,1.16177,1.95033
26.1,1.16972,1.96216,1.16972,1.96216
26.2,1.17831,1.97496,1.17831,1.97496
26.3,1.18745,1.98859,1.18745,1.98859
26.4,1.19703,2.00289,1.19703,2.00289
26.5,1.20695,2.01772,1.20695,2.01772
26.6,1.21711,2.03291,1.21711,2.03291
26.7,1.2274,2.04832,1.2274,2.04832
26.8,1.23772,2.06377,1.23772,2.06377
26.9,1.24796,2.07912,1.24796,2.07912
27,1.25802,2.09422,1.25802,2.09422
27.1,1.26781,2.10892,1.26781,2.10892
27.2,1.27724,2.12309,1.27724,2.12309
27.3,1.28622,2.13659,1.28622,2.13659
27.4,1.29467,2.14931,1.29467,2.14931
27.5,1.30252,2.16113,1.30252,2.16113
27.6,1.30969,2.17196,1.30969,2.17196
27.7,1.31614,2.1817,1.31614,2.1817
27.8,1.32181,2.19028,1.32181,2.19028
27.9,1.32666,2.19764,1.32666,2.19764
28,1.33066,2.20373,1.33066,2.20373
28.1,1.33378,2.20851,1.33378,2.20851
28.2,1.33602,2.21196,1.33602,2.21196
28.3,1.33736,2.21407,1.33736,2.21407
28.4,1.33781,2.21484,1.33781,2.21484
28.5,1.33738,2.2143,1.33738,2.2143
28.6,1.3361,2.21247,1.3361,2.21247
28.7,1.33399,2.2094,1.33399,2.2094
28.8,1.33109,2.20514,1.33109,2.20514
28.9,1.32744,2.19976,1.32744,2.19976
29,1.32309,2.19333,1.32309,2.19333
29.1,1.31811,2.18593,1.31811,2.18593
29.2,1.31254,2.17766,1.31254,2.17766
29.3,1.30647,2.16861,1.30647,2.16861
