t,x1_sim,x2_sim,x1_exp,x2_exp
58.4,1.2496,2.08268,1.2496,2.08268
58.5,1.25009,2.08341,1.25009,2.08341
58.6,1.25056,2.08412,1.25056,2.08412
58.7,1.25102,2.08481,1.25102,2.08481
58.8,1.25146,2.08547,1.25146,2.08547
58.9,1.25187,2.08609,1.25187,2.08609
59,1.25226,2.08668,1.25226,2.08668
59.1,1.25262,2.08722,1.25262,2.08722
59.2,1.25295,2.08772,1.25295,2.08772
59.3,1.25324,2.08816,1.25324,2.08816
59.4,1.2535,2.08854,1.2535,2.08854
59.5,1.25371,2.08887,1.25371,2.08887
59.6,1.25389,2.08914,1.25389,2.08914
59.7,1.25402,2.08934,1.25402,2.08934
59.8,1.25411,2.08948,1.25411,2.08948
59.9,1.25416,2.08955,1.25416,2.08955
60,1.25416,2.08957,1.25416,2.08957
60.1,1.25413,2.08952,1.25413,2.08952
60.2,1.25405,2.08941,1.25405,2.08941
60.3,1.25394,2.08924,1.25394,2.08924
60.4,1.25378,2.08902,1.25378,2.08902
60.5,1.2536,2.08874,1.2536,2.08874
60.6,1.25338,2.08842,1.25338,2.08842
60.7,1.25313,2.08805,1.25313,2.08805
60.8,1.25286,2.08765,1.25286,2.08765
60.9,1.25256,2.08721,1.25256,2.08721
61,1.25225,2.08673,1.25225,2.08673
61.1,1.25191,2.08624,1.25191,2.08624
61.2,1.25157,2.08572,1.25157,2.08572
61.3,1.25122,2.08519,1.25122,2.08519
61.4,1.25086,2.08466,1.25086,2.08466
61.5,1.2505,2.08412,1.2505,2.08412
61.6,1.25014,2.08358,1.25014,2.08358
61.7,1.24978,2.08305,1.24978,2.08305
61.8,1.24944,2.08253,1.24944,2.08253
61.9,1.24911,2.08203,1.24911,2.08203
62,1.24879,2.08156,1.24879,2.08156
62.1,1.24849,2.08111,1.24849,2.08111
62.2,1.24821,2.08069,1.24821,2.08069
62.3,1.24796,2.0803,1.24796,2.0803
62.4,1.24773,2.07995,1.24773,2.07995
62.5,1.24752,2.07965,1.24752,2.07965
62.6,1.24735,2.07938,1.24735,2.07938
62.7,1.2472,2.07916,1.2472,2.07916
62.8,1.24709,2.07898,1.24709,2.07898
62.9,1.247,2.07885,1.247,2.07885
63,1.24695,2.07877,1.24695,2.07877
63.1,1.24693,2.07874,1.24693,2.07874
63.2,1.24694,2.07875,1.24694,2.07875
63.3,1.24698,2.0788,1.24698,2.0788
63.4,1.24705,2.0789,1.24705,2.0789
63.5,1.24714,2.07904,1.24714,2.07904
63.6,1.24727,2.07923,1.24727,2.07923
63.7,1.24741,2.07944,1.24741,2.07944
63.8,1.24759,2.0797,1.24759,2.0797
63.9,1.24778,2.07998,1.24778,2.07998
64,1.24799,2.08029,1.24799,2.08029
64.1,1.24821,2.08063,1.24821,2.08063
64.2,1.24845,2.08098,1.24845,2.08098
64.3,1.2487,2.08136,1.2487,2.08136
64.4,1.24896,2.08174,1.24896,2.08174
64.5,1.24922,2.08213,1.24922,2.08213
64.6,1.24949,2.08253,1.24949,2.08253
64.7,1.24975,2.08293,1.24975,2.08293
64.8,1.25001,2.08332,1.25001,2.08332
64.9,1.25027,2.08371,1.25027,2.08371
65,1.25052,2.08409,1.25052,2.08409
65.1,1.25076,2.08445,1.25076,2.08445
65.2,1.25099,2.08479,1.25099,2.08479
65.3,1.2512,2.08511,1.2512,2.08511
65.4,1.2514,2.08541,1.2514,2.08541
65.5,1.25158,2.08568,1.25158,2.08568
65.6,1.25174,2.08593,1.25174,2.08593
65.7,1.25189,2.08614,1.25189,2.08614
65.8,1.252,2.08632,1.252,2.08632
65.9,1.2521,2.08647,1.2521,2.08647
66,1.25218,2.08659,1.25218,2.08659
66.1,1.25223,2.08667,1.25223,2.08667
66.2,1.25226,2.08671,1.25226,2.08671
66.3,1.25226,2.08672,1.25226,2.08672
66.4,1.25225,2.0867,1.25225,2.0867
66.5,1.25221,2.08664,1.25221,2.08664
66.6,1.25215,2.08656,1.25215,2.08656
66.7,1.25207,2.08644,1.25207,2.08644
66.8,1.25197,2.08629,1.25197,2.08629
66.9,1.25185,2.08612,1.25185,2.08612
67,1.25172,2.08593,1.25172,2.08593
67.1,1.25157,2.08571,1.25157,2.08571
67.2,1.25141,2.08547,1.25141,2.08547
67.3,1.25124,2.08521,1.25124,2.08521
67.4,1.25106,2.08495,1.25106,2.08495
67.5,1.25088,2.08467,1.25088,2.08467
67.6,1.25068,2.08438,1.25068,2.08438
67.7,1.25049,2.08409,1.25049,2.08409
67.8,1.25029,2.0838,1.25029,2.0838
67.9,1.2501,2.0835,1.2501,2.0835
68,1.24991,2.08321,1.24991,2.08321
68.1,1.24972,2.08293,1.24972,2.08293
68.2,1.24954,2.08266,1.24954,2.08266
68.3,1.24936,2.0824,1.24936,2.0824
68.4,1.2492,2.08215,1.2492,2.08215
68.5,1.24905,2.08192,1.24905,2.08192
68.6,1.24891,2.08171,1.24891,2.08171
68.7,1.24878,2.08152,1.24878,2.08152
68.8,1.24867,2.08135,1.24867,2.08135
68.9,1.24857,2.0812,1.24857,2.0812
69,1.24849,2.08108,1.24849,2.08108
69.1,1.24842,2.08098,1.24842,2.08098
69.2,1.24838,2.08091,1.24838,2.08091
69.3,1.24835,2.08086,1.24835,2.08086
69.4,1.24833,2.08084,1.24833,2.08084
69.5,1.24834,2.08084,1.24834,2.08084
69.6,1.24835,2.08087,1.24835,2.08087
69.7,1.24839,2.08092,1.24839,2.08092
69.8,1.24844,2.08099,1.24844,2.08099
69.9,1.24851,2.08109,1.24851,2.08109
70,1.24858,2.0812,1.24858,2.0812
70.1,1.24868,2.08134,1.24868,2.08134
70.2,1.24878,2.08149,1.24878,2.08149
70.3,1.24889,2.08166,1.24889,2.08166
70.4,1.24901,2.08184,1.24901,2.08184
70.5,1.24914,2.08203,1.24914,2.08203
70.6,1.24928,2.08223,1.24928,2.08223
70.7,1.24942,2.08244,1.24942,2.08244
70.8,1.24956,2.08266,1.24956,2.08266
70.9,1.2497,2.08287,1.2497,2.08287
71,1.24985,2.08309,1.24985,2.08309
71.1,1.24999,2.0833,1.24999,2.0833
71.2,1.25013,2.08351,1.25013,2.08351
71.3,1.25027,2.08372,1.25027,2.08372
71.4,1.2504,2.08392,1.2504,2.08392
71.5,1.25052,2.0841,1.25052,2.0841
71.6,1.25064,2.08428,1.25064,2.08428
71.7,1.25075,2.08444,1.25075,2.08444
71.8,1.25085,2.08459,1.25085,2.08459
71.9,1.25094,2.08473,1.25094,2.08473
72,1.25102,2.08485,1.25102,2.08485
72.1,1.25108,2.08495,1.25108,2.08495
72.2,1.25114,2.08503,1.25114,2.08503
72.3,1.25118,2.08509,1.25118,2.08509
72.4,1.25121,2.08514,1.25121,2.08514
72.5,1.25123,2.08517,1.25123,2.08517
72.6,1.25123,2.08518,1.25123,2.08518
72.7,1.25122,2.08517,1.25122,2.08517
72.8,1.2512,2.08514,1.2512,2.08514
72.9,1.25117,2.08509,1.25117,2.08509
73,1.25113,2.08503,1.25113,2.08503
73.1,1.25108,2.08495,1.25108,2.08495
73.2,1.25102,2.08486,1.25102,2.08486
73.3,1.25094,2.08476,1.25094,2.08476
73.4,1.25087,2.08464,1.25087,2.08464
73.5,1.25078,2.08451,1.25078,2.08451
73.6,1.25069,2.08437,1.25069,2.08437
73.7,1.25059,2.08423,1.25059,2.08423
73.8,1.25049,2.08408,1.25049,2.08408
73.9,1.25039,2.08392,1.25039,2.08392
74,1.25028,2.08376,1.25028,2.08376
74.1,1.25017,2.0836,1.25017,2.0836
74.2,1.25007,2.08344,1.25007,2.08344
74.3,1.24996,2.08329,1.24996,2.08329
74.4,1.24986,2.08313,1.24986,2.08313
74.5,1.24976,2.08298,1.24976,2.08298
74.6,1.24967,2.08284,1.24967,2.08284
74.7,1.24958,2.08271,1.24958,2.08271
74.8,1.24949,2.08258,1.24949,2.08258
74.9,1.24941,2.08246,1.24941,2.08246
75,1.24934,2.08236,1.24934,2.08236
75.1,1.24928,2.08227,1.24928,2.08227
75.2,1.24923,2.08218,1.24923,2.08218
75.3,1.24918,2.08212,1.24918,2.08212
75.4,1.24915,2.08206,1.24915,2.08206
75.5,1.24912,2.08202,1.24912,2.08202
75.6,1.2491,2.08199,1.2491,2.08199
75.7,1.24909,2.08198,1.24909,2.08198
75.8,1.24909,2.08198,1.24909,2.08198
75.9,1.2491,2.08199,1.2491,2.08199
76,1.24912,2.08202,1.24912,2.08202
76.1,1.24915,2.08205,1.24915,2.08205
76.2,1.24918,2.08211,1.24918,2.08211
76.3,1.24922,2.08217,1.24922,2.08217
76.4,1.24927,2.08224,1.24927,2.08224
76.5,1.24933,2.08232,1.24933,2.08232
76.6,1.24939,2.08241,1.24939,2.08241
76.7,1.24945,2.08251,1.24945,2.08251
76.8,1.24952,2.08261,1.24952,2.08261
76.9,1.2496,2.08272,1.2496,2.08272
77,1.24967,2.08283,1.24967,2.08283
77.1,1.24975,2.08295,1.24975,2.08295
77.2,1.24983,2.08307,1.24983,2.08307
77.3,1.24991,2.08319,1.24991,2.08319
77.4,1.24999,2.0833,1.24999,2.0833
77.5,1.25006,2.08342,1.25006,2.08342
77.6,1.25014,2.08353,1.25014,2.08353
77.7,1.25021,2.08364,1.25021,2.08364
77.8,1.25028,2.08374,1.25028,2.08374
77.9,1.25034,2.08384,1.25034,2.08384
78,1.2504,2.08393,1.2504,2.08393
78.1,1.25045,2.08401,1.25045,2.08401
78.2,1.2505,2.08408,1.2505,2.08408
78.3,1.25055,2.08415,1.25055,2.08415
78.4,1.25058,2.0842,1.25058,2.0842
78.5,1.25061,2.08425,1.25061,2.08425
78.6,1.25064,2.08429,1.25064,2.08429
78.7,1.25066,2.08431,1.25066,2.08431
78.8,1.25067,2.08433,1.25067,2.08433
78.9,1.25067,2.08433,1.25067,2.08433
79,1.25067,2.08433,1.25067,2.08433
79.1,1.25066,2.08432,1.25066,2.08432
79.2,1.25064,2.08429,1.25064,2.08429
79.3,1.25062,2.08426,1.25062,2.08426
79.4,1.25059,2.08422,1.25059,2.08422
79.5,1.25056,2.08417,1.25056,2.08417
79.6,1.25052,2.08411,1.25052,2.08411
79.7,1.25048,2.08405,1.25048,2.08405
79.8,1.25043,2.08398,1.25043,2.08398
79.9,1.25038,2.08391,1.25038,2.08391
80,1.25033,2.08383,1.25033,2.08383
80.1,1.25027,2.08375,1.25027,2.08375
80.2,1.25022,2.08366,1.25022,2.08366
80.3,1.25016,2.08358,1.25016,2.08358
80.4,1.2501,2.08349,1.2501,2.08349
80.5,1.25004,2.0834,1.25004,2.0834
80.6,1.24999,2.08332,1.24999,2.08332
80.7,1.24993,2.08324,1.24993,2.08324
80.8,1.24988,2.08315,1.24988,2.08315
80.9,1.24982,2.08308,1.24982,2.08308
81,1.24978,2.083,1.24978,2.083
81.1,1.24973,2.08293,1.24973,2.08293
81.2,1.24969,2.08287,1.24969,2.08287
81.3,1.24965,2.08281,1.24965,2.08281
81.4,1.24961,2.08276,1.24961,2.08276
81.5,1.24958,2.08271,1.24958,2.08271
81.6,1.24956,2.08268,1.24956,2.08268
81.7,1.24954,2.08264,1.24954,2.08264
81.8,1.24952,2.08262,1.24952,2.08262
81.9,1.24951,2.08261,1.24951,2.08261
82,1.24951,2.0826,1.24951,2.0826
82.1,1.24951,2.0826,1.24951,2.0826
82.2,1.24951,2.0826,1.24951,2.0826
82.3,1.24952,2.08262,1.24952,2.08262
82.4,1.24954,2.08264,1.24954,2.08264
82.5,1.24955,2.08266,1.24955,2.08266
82.6,1.24958,2.0827,1.24958,2.0827
82.7,1.2496,2.08273,1.2496,2.08273
82.8,1.24963,2.08278,1.24963,2.08278
82.9,1.24966,2.08283,1.24966,2.08283
83,1.2497,2.08288,1.2497,2.08288
83.1,1.24974,2.08293,1.24974,2.08293
83.2,1.24978,2.08299,1.24978,2.08299
83.3,1.24982,2.08305,1.24982,2.08305
83.4,1.24986,2.08312,1.24986,2.08312
83.5,1.2499,2.08318,1.2499,2.08318
83.6,1.24994,2.08324,1.24994,2.08324
83.7,1.24999,2.08331,1.24999,2.08331
83.8,1.25003,2.08337,1.25003,2.08337
83.9,1.25007,2.08343,1.25007,2.08343
84,1.25011,2.08349,1.25011,2.08349
84.1,1.25015,2.08355,1.25015,2.08355
84.2,1.25018,2.0836,1.25018,2.0836
84.3,1.25021,2.08365,1.25021,2.08365
84.4,1.25024,2.0837,1.25024,2.0837
84.5,1.25027,2.08374,1.25027,2.08374
84.6,1.25029,2.08377,1.25029,2.08377
84.7,1.25032,2.0838,1.25032,2.0838
84.8,1.25033,2.08383,1.25033,2.08383
84.9,1.25035,2.08385,1.25035,2.08385
85,1.25036,2.08386,1.25036,2.08386
85.1,1.25036,2.08387,1.25036,2.08387
85.2,1.25036,2.08388,1.25036,2.08388
85.3,1.25036,2.08388,1.25036,2.08388
85.4,1.25036,2.08387,1.25036,2.08387
85.5,1.25035,2.08386,1.25035,2.08386
85.6,1.25034,2.08384,1.25034,2.08384
85.7,1.25032,2.08382,1.25032,2.08382
85.8,1.2503,2.08379,1.2503,2.08379
85.9,1.25028,2.08376,1.25028,2.08376
86,1.25026,2.08373,1.25026,2.08373
86.1,1.25024,2.08369,1.25024,2.08369
86.2,1.25021,2.08365,1.25021,2.08365
86.3,1.25018,2.08361,1.25018,2.08361
86.4,1.25015,2.08356,1.25015,2.08356
86.5,1.25012,2.08352,1.25012,2.08352
86.6,1.25009,2.08347,1.25009,2.08347
86.7,1.25006,2.08343,1.25006,2.08343
86.8,1.25003,2.08338,1.25003,2.08338
86.9,1.25,2.08333,1.25,2.08333
87,1.24997,2.08329,1.24997,2.08329
87.1,1.24994,2.08324,1.24994,2.08324
87.2,1.24991,2.0832,1.24991,2.0832
87.3,1.24988,2.08316,1.24988,2.08316
87.4,1.24986,2.08312,1.24986,2.08312
87.5,1.24983,2.08309,1.24983,2.08309
87.6,1.24981,2.08305,1.24981,2.08305
87.7,1.24979,2.08302,1.24979,2.08302
87.8,1.24978,2.083,1.24978,2.083
87.9,1.24976,2.08298,1.24976,2.08298
88,1.24975,2.08296,1.24975,2.08296
88.1,1.24974,2.08295,1.24974,2.08295
88.2,1.24974,2.08294,1.24974,2.08294
88.3,1.24973,2.08293,1.24973,2.08293
88.4,1.24973,2.08293,1.24973,2.08293
88.5,1.24973,2.08294,1.24973,2.08294
88.6,1.24974,2.08294,1.24974,2.08294
88.7,1.24975,2.08295,1.24975,2.08295
88.8,1.24976,2.08297,1.24976,2.08297
88.9,1.24977,2.08298,1.24977,2.08298
89,1.24978,2.083,1.24978,2.083
89.1,1.2498,2.08303,1.2498,2.08303
89.2,1.24981,2.08305,1.24981,2.08305
89.3,1.24983,2.08308,1.24983,2.08308
89.4,1.24985,2.08311,1.24985,2.08311
89.5,1.24988,2.08314,1.24988,2.08314
89.6,1.2499,2.08318,1.2499,2.08318
89.7,1.24992,2.08321,1.24992,2.08321
89.8,1.24994,2.08325,1.24994,2.08325
89.9,1.24997,2.08328,1.24997,2.08328
90,1.24999,2.08332,1.24999,2.08332
90.1,1.25001,2.08335,1.25001,2.08335
90.2,1.25003,2.08338,1.25003,2.08338
90.3,1.25006,2.08342,1.25006,2.08342
90.4,1.25008,2.08345,1.25008,2.08345
90.5,1.2501,2.08348,1.2501,2.08348
90.6,1.25011,2.0835,1.25011,2.0835
90.7,1.25013,2.08353,1.25013,2.08353
90.8,1.25015,2.08355,1.25015,2.08355
90.9,1.25016,2.08357,1.25016,2.08357
91,1.25017,2.08359,1.25017,2.08359
91.1,1.25018,2.0836,1.25018,2.0836
91.2,1.25019,2.08361,1.25019,2.08361
91.3,1.25019,2.08362,1.25019,2.08362
91.4,1.2502,2.08363,1.2502,2.08363
91.5,1.2502,2.08363,1.2502,2.08363
91.6,1.2502,2.08363,1.2502,2.08363
91.7,1.25019,2.08363,1.25019,2.08363
91.8,1.25019,2.08362,1.25019,2.08362
91.9,1.25018,2.08361,1.25018,2.08361
92,1.25018,2.0836,1.25018,2.0836
92.1,1.25017,2.08358,1.25017,2.08358
92.2,1.25016,2.08357,1.25016,2.08357
92.3,1.25014,2.08355,1.25014,2.08355
92.4,1.25013,2.08353,1.25013,2.08353
92.5,1.25012,2.08351,1.25012,2.08351
92.6,1.2501,2.08349,1.2501,2.08349
92.7,1.25008,2.08346,1.25008,2.08346
92.8,1.25007,2.08344,1.25007,2.08344
92.9,1.25005,2.08341,1.25005,2.08341
93,1.25003,2.08339,1.25003,2.08339
93.1,1.25002,2.08336,1.25002,2.08336
93.2,1.25,2.08334,1.25,2.08334
93.3,1.24998,2.08331,1.24998,2.08331
93.4,1.24997,2.08329,1.24997,2.08329
93.5,1.24995,2.08326,1.24995,2.08326
93.6,1.24994,2.08324,1.24994,2.08324
93.7,1.24992,2.08322,1.24992,2.08322
93.8,1.24991,2.0832,1.24991,2.0832
93.9,1.2499,2.08318,1.2499,2.08318
94,1.24989,2.08317,1.24989,2.08317
94.1,1.24988,2.08315,1.24988,2.08315
94.2,1.24987,2.08314,1.24987,2.08314
94.3,1.24987,2.08313,1.24987,2.08313
94.4,1.24986,2.08312,1.24986,2.08312
94.5,1.24986,2.08312,1.24986,2.08312
94.6,1.24985,2.08312,1.24985,2.08312
94.7,1.24985,2.08312,1.24985,2.08312
94.8,1.24986,2.08312,1.24986,2.08312
94.9,1.24986,2.08312,1.24986,2.08312
95,1.24986,2.08313,1.24986,2.08313
95.1,1.24987,2.08313,1.24987,2.08313
95.2,1.24987,2.08314,1.24987,2.08314
95.3,1.24988,2.08315,1.24988,2.08315
95.4,1.24989,2.08317,1.24989,2.08317
95.5,1.2499,2.08318,1.2499,2.08318
95.6,1.24991,2.0832,1.24991,2.0832
95.7,1.24992,2.08321,1.24992,2.08321
95.8,1.24993,2.08323,1.24993,2.08323
95.9,1.24994,2.08325,1.24994,2.08325
96,1.24996,2.08326,1.24996,2.08326
96.1,1.24997,2.08328,1.24997,2.08328
96.2,1.24998,2.0833,1.24998,2.0833
96.3,1.24999,2.08332,1.24999,2.08332
96.4,1.25001,2.08334,1.25001,2.08334
96.5,1.25002,2.08336,1.25002,2.08336
96.6,1.25003,2.08338,1.25003,2.08338
96.7,1.25004,2.08339,1.25004,2.08339
96.8,1.25005,2.08341,1.25005,2.08341
96.9,1.25006,2.08342,1.25006,2.08342
97,1.25007,2.08344,1.25007,2.08344
97.1,1.25008,2.08345,1.25008,2.08345
97.2,1.25009,2.08346,1.25009,2.08346
97.3,1.25009,2.08347,1.25009,2.08347
97.4,1.2501,2.08348,1.2501,2.08348
97.5,1.2501,2.08348,1.2501,2.08348
97.6,1.2501,2.08349,1.2501,2.08349
97.7,1.25011,2.08349,1.25011,2.08349
97.8,1.25011,2.08349,1.25011,2.08349
97.9,1.25011,2.08349,1.25011,2.08349
98,1.25011,2.08349,1.25011,2.08349
98.1,1.2501,2.08349,1.2501,2.08349
98.2,1.2501,2.08348,1.2501,2.08348
98.3,1.2501,2.08348,1.2501,2.08348
98.4,1.25009,2.08347,1.25009,2.08347
98.5,1.25009,2.08346,1.25009,2.08346
98.6,1.25008,2.08345,1.25008,2.08345
98.7,1.25007,2.08344,1.25007,2.08344
98.8,1.25006,2.08343,1.25006,2.08343
98.9,1.25006,2.08342,1.25006,2.08342
99,1.25005,2.0834,1.25005,2.0834
99.1,1.25004,2.08339,1.25004,2.08339
99.2,1.25003,2.08338,1.25003,2.08338
99.3,1.25002,2.08336,1.25002,2.08336
99.4,1.25001,2.08335,1.25001,2.08335
99.5,1.25,2.08334,1.25,2.08334
99.6,1.24999,2.08332,1.24999,2.08332
99.7,1.24998,2.08331,1.24998,2.08331
99.8,1.24997,2.0833,1.24997,2.0833
99.9,1.24997,2.08328,1.24997,2.08328
100,1.24996,2.08327,1.24996,2.08327
