Długość kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientów sprzężonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,Minimum globalne [TAK/NIE],x1*,x2*,y*,f_calls,g_calls,Minimum globalne [TAK/NIE],x1*,x2*,y*,f_calls,g_calls,H_calls,Minimum globalne [TAK/NIE]
,28,"1,3523","-1,74454","1,75E+00","-8,74E-01","2,99E-01",75,75,NIE,"1,75E+00","-8,74E-01","2,99E-01",24,24,NIE,"1,07E+00","-5,36E-01","8,77E-01",158,158,157,NIE
,29,"0,0489275","1,60003","-2,41E-04","5,81E-04","3,14E-07",95,95,TAK,"-2,85E-04","3,38E-04","1,80E-07",27,27,TAK,"1,26E-05","4,15E-04","1,77E-07",162,162,161,TAK
,30,"-0,474374","-1,69608","2,25E-04","-5,42E-04","2,73E-07",95,95,TAK,"2,63E-04","-5,32E-04","2,82E-07",26,26,TAK,"-6,79E-05","-3,54E-04","1,58E-07",167,167,166,TAK
,31,"-1,09355","0,683568","-1,75E+00","8,73E-01","2,99E-01",77,77,NIE,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,36E-01","8,77E-01",116,116,115,NIE
,32,"-1,59428","0,624943","-1,75E+00","8,73E-01","2,99E-01",64,64,NIE,"-1,75E+00","8,73E-01","2,99E-01",20,20,NIE,"-1,75E+00","8,74E-01","2,99E-01",136,136,135,NIE
,33,"-1,72466","1,52678","-1,75E+00","8,74E-01","2,99E-01",73,73,NIE,"-1,75E+00","8,74E-01","2,99E-01",23,23,NIE,"-1,75E+00","8,74E-01","2,99E-01",145,145,144,NIE
,34,"-1,3101","-0,545242","-1,75E+00","8,73E-01","2,99E-01",84,84,NIE,"-1,75E+00","8,74E-01","2,99E-01",44,44,NIE,"-1,07E+00","5,35E-01","8,77E-01",153,153,152,NIE
,35,"-1,87365","-1,26292","-1,75E+00","8,73E-01","2,99E-01",85,85,NIE,"-1,75E+00","8,74E-01","2,99E-01",27,27,NIE,"-1,75E+00","8,73E-01","2,99E-01",171,171,170,NIE
,36,"-1,66883","0,435088","-1,75E+00","8,73E-01","2,99E-01",69,69,NIE,"-1,75E+00","8,73E-01","2,99E-01",21,21,NIE,"-1,75E+00","8,73E-01","2,99E-01",133,133,132,NIE
,37,"-1,09877","0,578172","-1,75E+00","8,73E-01","2,99E-01",79,79,NIE,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,36E-01","8,77E-01",101,101,100,NIE
,38,"-0,00909563","-1,15876","2,24E-04","-5,41E-04","2,71E-07",92,92,TAK,"3,11E-04","-3,80E-04","2,20E-07",26,26,TAK,"-3,37E-06","-4,30E-04","1,86E-07",155,155,154,TAK
,39,"-0,457842","0,670735","-2,23E-04","5,39E-04","2,70E-07",89,89,TAK,"-1,08E-04","4,87E-04","2,08E-07",25,25,TAK,"-2,84E-04","5,14E-04","2,80E-07",139,139,138,TAK
,40,"-0,457014","-1,32765","2,36E-04","-5,69E-04","3,01E-07",91,91,TAK,"2,32E-04","-4,44E-04","2,02E-07",26,26,TAK,"-7,87E-05","-3,25E-04","1,43E-07",164,164,163,TAK
,41,"0,220067","0,603536","-2,24E-04","5,42E-04","2,73E-07",82,82,TAK,"-9,44E-05","5,23E-04","2,42E-07",23,23,TAK,"9,90E-05","2,93E-04","1,34E-07",150,150,149,TAK
,42,"0,247962","-1,03683","2,24E-04","-5,40E-04","2,71E-07",92,92,TAK,"2,25E-04","-4,03E-04","1,73E-07",26,26,TAK,"1,21E-04","-5,46E-04","2,61E-07",148,148,147,TAK
,43,"-0,766372","1,09336","-2,29E-04","5,53E-04","2,84E-07",97,97,TAK,"-2,75E-04","3,42E-04","1,74E-07",25,25,TAK,"-1,07E+00","5,36E-01","8,77E-01",144,144,143,NIE
,44,"1,34127","1,99507","-2,26E-04","5,47E-04","2,78E-07",82,82,TAK,"2,34E-04","-4,56E-04","2,11E-07",30,30,TAK,"1,07E+00","-5,35E-01","8,77E-01",170,170,169,NIE
,45,"-1,92314","-0,0182232","-1,75E+00","8,73E-01","2,99E-01",76,76,NIE,"-1,75E+00","8,73E-01","2,99E-01",24,24,NIE,"-1,75E+00","8,74E-01","2,99E-01",166,166,165,NIE
,46,"1,70758","0,187196","1,75E+00","-8,73E-01","2,99E-01",78,78,NIE,"1,75E+00","-8,73E-01","2,99E-01",24,24,NIE,"1,75E+00","-8,73E-01","2,99E-01",151,151,150,NIE
,47,"-1,00167","-1,08904","2,24E-04","-5,41E-04","2,72E-07",79,79,TAK,"-1,68E-04","4,76E-04","2,03E-07",22,22,TAK,"-1,07E+00","5,35E-01","8,77E-01",162,162,161,NIE
,48,"-0,783957","1,29841","-2,36E-04","5,69E-04","3,01E-07",99,99,TAK,"-1,47E-04","3,90E-05","3,88E-08",30,30,TAK,"-1,07E+00","5,36E-01","8,77E-01",148,148,147,NIE
,49,"-1,10285","1,88453","-1,75E+00","8,74E-01","2,99E-01",75,75,NIE,"-1,75E+00","8,74E-01","2,99E-01",22,22,NIE,"-1,07E+00","5,36E-01","8,77E-01",158,158,157,NIE
,50,"1,28347","-0,445253","1,75E+00","-8,73E-01","2,99E-01",72,72,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",132,132,131,NIE
,51,"1,41049","0,124766","1,75E+00","-8,73E-01","2,99E-01",78,78,NIE,"1,75E+00","-8,73E-01","2,99E-01",23,23,NIE,"1,07E+00","-5,35E-01","8,77E-01",147,147,146,NIE
,52,"-0,394161","0,611044","-2,33E-04","5,63E-04","2,95E-07",87,87,TAK,"-1,12E-04","4,38E-04","1,68E-07",25,25,TAK,"-2,81E-04","5,08E-04","2,73E-07",138,138,137,TAK
,53,"1,31863","-0,786184","1,75E+00","-8,73E-01","2,99E-01",61,61,NIE,"1,75E+00","-8,73E-01","2,99E-01",21,21,NIE,"1,07E+00","-5,35E-01","8,77E-01",139,139,138,NIE
,54,"-0,184803","-1,86341","2,31E-04","-5,58E-04","2,89E-07",97,97,TAK,"2,66E-04","-3,91E-04","1,90E-07",27,27,TAK,"-3,73E-05","-3,94E-04","1,73E-07",166,166,165,TAK
,55,"1,46786","1,08854","1,75E+00","-8,73E-01","2,99E-01",85,85,NIE,"1,75E+00","-8,74E-01","2,99E-01",22,22,NIE,"1,07E+00","-5,35E-01","8,77E-01",162,162,161,NIE
,56,"-0,766281","-0,211931","-2,37E-04","5,71E-04","3,03E-07",72,72,TAK,"-2,93E-04","3,33E-04","1,85E-07",23,23,TAK,"-1,07E+00","5,35E-01","8,77E-01",150,150,149,NIE
