iteration,x1,x2
0,-1.86612,-0.680143
1,-1.86151,-0.601788
2,-1.85704,-0.527394
3,-1.85272,-0.456761
4,-1.84853,-0.389697
5,-1.84448,-0.326024
6,-1.84057,-0.265568
7,-1.83679,-0.208167
8,-1.83313,-0.153666
9,-1.8296,-0.10192
10,-1.82619,-0.0527871
11,-1.82291,-0.00613636
12,-1.81974,0.0381582
13,-1.81668,0.080216
14,-1.81374,0.12015
15,-1.8109,0.158068
16,-1.80817,0.194073
17,-1.80555,0.22826
18,-1.80302,0.260722
19,-1.80059,0.291547
20,-1.79825,0.320816
21,-1.79601,0.34861
22,-1.79386,0.375002
23,-1.79179,0.400064
24,-1.7898,0.423863
25,-1.7879,0.446462
26,-1.78607,0.467923
27,-1.78432,0.488303
28,-1.78264,0.507657
29,-1.78103,0.526036
30,-1.77949,0.54349
31,-1.77802,0.560066
32,-1.77661,0.575808
33,-1.77526,0.590757
34,-1.77397,0.604955
35,-1.77273,0.618439
36,-1.77155,0.631245
37,-1.77042,0.643407
38,-1.76934,0.654958
39,-1.76831,0.665928
40,-1.76733,0.676348
41,-1.76639,0.686244
42,-1.76549,0.695643
43,-1.76463,0.70457
44,-1.76382,0.713048
45,-1.76304,0.721101
46,-1.76229,0.72875
47,-1.76158,0.736016
48,-1.76091,0.742916
49,-1.76026,0.749471
50,-1.75965,0.755696
51,-1.75906,0.76161
52,-1.7585,0.767227
53,-1.75797,0.772562
54,-1.75747,0.77763
55,-1.75698,0.782443
56,-1.75652,0.787016
57,-1.75608,0.791359
58,-1.75567,0.795485
59,-1.75527,0.799403
60,-1.75489,0.803126
61,-1.75453,0.806662
62,-1.75419,0.810021
63,-1.75386,0.813212
64,-1.75355,0.816242
65,-1.75326,0.819121
66,-1.75298,0.821856
67,-1.75271,0.824454
68,-1.75246,0.826922
69,-1.75221,0.829266
70,-1.75198,0.831493
71,-1.75176,0.833609
72,-1.75156,0.835618
73,-1.75136,0.837527
74,-1.75117,0.839341
75,-1.75099,0.841063
76,-1.75082,0.8427
77,-1.75066,0.844254
78,-1.7505,0.845731
79,-1.75036,0.847134
80,-1.75022,0.848467
81,-1.75009,0.849732
82,-1.74996,0.850935
83,-1.74984,0.852078
84,-1.74973,0.853163
85,-1.74962,0.854194
86,-1.74952,0.855173
87,-1.74942,0.856104
88,-1.74933,0.856987
89,-1.74924,0.857827
90,-1.74915,0.858625
91,-1.74907,0.859382
92,-1.749,0.860102
93,-1.74893,0.860786
94,-1.74886,0.861436
95,-1.74879,0.862053
96,-1.74873,0.862639
97,-1.74867,0.863196
98,-1.74862,0.863725
99,-1.74856,0.864228
100,-1.74851,0.864705
101,-1.74846,0.865159
102,-1.74842,0.86559
103,-1.74838,0.865999
104,-1.74833,0.866388
105,-1.7483,0.866758
106,-1.74826,0.867109
107,-1.74822,0.867442
108,-1.74819,0.867759
109,-1.74816,0.86806
110,-1.74813,0.868345
111,-1.7481,0.868617
112,-1.74807,0.868875
113,-1.74805,0.86912
114,-1.74802,0.869353
115,-1.748,0.869574
116,-1.74798,0.869784
117,-1.74795,0.869984
118,-1.74793,0.870173
119,-1.74792,0.870354
120,-1.7479,0.870525
121,-1.74788,0.870687
122,-1.74786,0.870842
123,-1.74785,0.870988
124,-1.74783,0.871128
125,-1.74782,0.87126
126,-1.74781,0.871386
127,-1.74779,0.871506
128,-1.74778,0.871619
129,-1.74777,0.871727
130,-1.74776,0.871829
131,-1.74775,0.871927
132,-1.74774,0.872019
133,-1.74773,0.872107
134,-1.74772,0.872191
135,-1.74771,0.87227
136,-1.7477,0.872345
137,-1.7477,0.872417
138,-1.74769,0.872485
139,-1.74768,0.872549
140,-1.74768,0.872611
141,-1.74767,0.872669
142,-1.74766,0.872724
143,-1.74766,0.872777
144,-1.74765,0.872827
145,-1.74765,0.872874
146,-1.74764,0.872919
147,-1.74764,0.872962
148,-1.74763,0.873003
149,-1.74763,0.873042
150,-1.74763,0.873078
151,-1.74762,0.873113
152,-1.74762,0.873146
153,-1.74762,0.873178
154,-1.74761,0.873208
155,-1.74761,0.873236
156,-1.74761,0.873263
157,-1.7476,0.873289
158,-1.7476,0.873313
159,-1.7476,0.873336
160,-1.7476,0.873358
161,-1.74759,0.873379
162,-1.74759,0.873399
163,-1.74759,0.873418
164,-1.74759,0.873436
165,-1.74759,0.873453
166,-1.74758,0.873469
